index,topic_general,topic_detail,claim,evidence,evidence_type,pair,source_name,source_logo,image
0,CT,Global Warming,Scientists have teamed up to push a fake story about human-caused climate change just to get more funding for their research.,"A study suggests that summers in Britain from 21 to 50AD were hotter than previously thought, being an average temperature of 1 degree celsius hotter than today.",Not Anecdotal,1,Moment Magazine,2.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
1,CT,Global Warming,Scientists have teamed up to push a fake story about human-caused climate change just to get more funding for their research.,"Records from a new archeological dig site in Spain suggests that the area had an especially hot summer in the year 30AD, reaching a temperature 1 degree celcius higher than recent average temperatures. ",Anecdotal,1,Moment Magazine,2.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
2,CT,Global Warming,Scientists aren't conspiring to say that climate change is caused by humans just to get more funding for their research.,Exxon made ‘breathtakingly’ accurate climate predictions in 1970s and 80s.,Not Anecdotal,2,Moment Magazine,2.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
3,CT,Global Warming,Scientists aren't conspiring to say that climate change is caused by humans just to get more funding for their research.,"A climate scientist that worked for Exxon in the 1980's stated in an interview that, ""they knew what was going on. The problem is at the same time they were paying people to put out misinformation.""",Anecdotal,2,Moment Magazine,2.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
4,CT,Vaccine,Governments hid the harmful effects of COVID vaccines because they just wanted everyone to go back to work.,"A Swiss study found heart injuries from COVID to be over 3,000 times higher than the rates reported by other sources.",Not Anecdotal,1,Healthy Life News,19.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
5,CT,Vaccine,Governments hid the harmful effects of COVID vaccines because they just wanted everyone to go back to work.,A postal worker in Virginia reported experiencing chest pain just a few days after taking the COVID vaccine.,Anecdotal,1,Healthy Life News,19.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
6,CT,Vaccine,Governments didn't hide anything about the COVID vaccines. It just turns out that harmful effects are pretty rare.,A nationwide study by the NCAA concluded that student-athletes who are fully vaccinated for COVID don't experience negative side effects any more often than unvaccinated students.,Not Anecdotal,2,Healthy Life News,19.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
7,CT,Vaccine,Governments didn't hide anything about the COVID vaccines. It just turns out that harmful effects are pretty rare.,A long-distance runner in Oregon who received the first four rounds of the COVID vaccine says she hasn't had any negative side effects from them.,Anecdotal,2,Healthy Life News,19.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
8,CT,Healthcare,"Doctors and drug companies push new treatments on people because they are the most profitable, even when they don't actually work.","Data gathered from US hospital systems shows that the average costs of medical care have risen 48% over the past decade, even while average life expectancy has gone down.",Not Anecdotal,1,Healthcare Tribune,8.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
9,CT,Healthcare,"Doctors and drug companies push new treatments on people because they are the most profitable, even when they don't actually work.","A New York woman says her late husband may have lived longer after a cancer diagnosis if the healthcare industry didn't ""push unnecessary"" chemotherapy on him as a cure.",Anecdotal,1,Healthcare Tribune,8.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
10,CT,Healthcare,"Doctors and drug companies don't recommend new treatments that aren't effective, no matter how profitable they are.",A prominent scientific journal reported that 90% of clinical drug trials don't result in a new drug coming to the market.,Not Anecdotal,2,Healthcare Tribune,8.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
11,CT,Healthcare,"Doctors and drug companies don't recommend new treatments that aren't effective, no matter how profitable they are.",A pharmaceutical company halted trials of a potential HIV vaccine after it was found to be ineffective.,Anecdotal,2,Healthcare Tribune,8.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
12,CT,2020 Election,See? The Democrats stole the 2020 election from Republicans.,A poll revealed that 21% of respondents indicated they had filled out a mail-in ballot for someone else in the 2020 election.,Not Anecdotal,1,Politics Today,11.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
13,CT,2020 Election,See? The Democrats stole the 2020 election from Republicans.,A rideshare driver in Reno said that it was easy to fill out a ballot for their grandmother in the 2020 election.,Anecdotal,1,Politics Today,11.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
14,CT,2020 Election,The Democrats did not steal the 2020 election from Republicans.,"Trump gave $600K to a research firm to find evidence of voter fraud in several states, but they found no evidence of it.",Not Anecdotal,2,Politics Today,11.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
15,CT,2020 Election,The Democrats did not steal the 2020 election from Republicans.,"An investigation into possible 2020 election malfeasance in Georgia, which included Secretary of State Investigators, and Special Agents with both GBI and FBI revealed, “there was no evidence of any type of fraud as alleged.”",Anecdotal,2,Politics Today,11.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
16,Non-CT,masks,Hmm. Seems like masks don't actually protect against Covid infection.,A hospital worker refused to wear a mask outside of work and yet never caught Covid-19 across the past 18 months.,Anecdotal,1,City Tribune,3.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
17,Non-CT,masks,Hmm. Seems like masks don't actually protect against Covid infection.,"A hospital system study reported that hospital workers who refused to wear masks outside of work were no more likely to catch Covid-19, across the past 18 months. ",Not Anecdotal,1,City Tribune,3.png,https://images.unsplash.com/photo-1589091683318-a10f065d844a?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
18,Non-CT,masks,People say that masks impair breathing. They're wrong.,"A New Jersey resident jogged for two miles while still wearing a mask, and said he never lost his breath. ",Anecdotal,2,City Tribune,3.png,https://images.unsplash.com/photo-1584634731339-252c581abfc5?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1475&q=80
19,Non-CT,masks,People say that masks impair breathing. They're wrong.,A large survey of New Jersey residents showed that 95% reported that wearing a mask did not impair their breathing.,Not Anecdotal,2,City Tribune,3.png,https://images.pexels.com/photos/3786126/pexels-photo-3786126.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
20,Non-CT,Gun ownership,Gun purchase bans don't work. Most banned people can still buy guns!,"Californian wife says her husband was banned from owning guns, but was still able to buy one. ",Anecdotal,1,The American Wire,16.png,https://images.unsplash.com/photo-1595590424283-b8f17842773f?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
21,Non-CT,Gun ownership,Gun purchase bans don't work. Most banned people can still buy guns!,A study shows 80 out of every hundred individuals who were banned from owning guns were still able to purchase them.,Not Anecdotal,1,The American Wire,16.png,https://images.unsplash.com/photo-1594232352231-11a0958d131c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1500&q=80
22,Non-CT,Gun ownership,See? Legal gun owners are even more likely to shoot people.,Legal gun-owner with a military-grade collection shoots three people in a local bar.,Anecdotal,2,The American Wire,16.png,https://images.unsplash.com/photo-1609808425360-3ed1ca46d56d?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1025&q=80
23,Non-CT,Gun ownership,See? Legal gun owners are even more likely to shoot people.,A nation-wide analysis of shooting incidents in the US shows that fatal homicides are four times more likely to be caused by legal gun owners than by illegal gun owners.,Not Anecdotal,2,The American Wire,16.png,https://images.unsplash.com/photo-1639064565697-c44c8b0c17fe?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
24,Non-CT,Vaping,Vaping is the best way to quit cigarettes!,College student said that vaping was her only successful strategy for quitting cigarettes.,Anecdotal,1,Healthy Today,7.png,https://images.unsplash.com/photo-1616093053570-0143f27b994d?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
25,Non-CT,Vaping,Vaping is the best way to quit cigarettes!,"A major public health study shows that in comparison to all other quitting methods, using vaping products led to the highest chance of successfully quitting cigarettes.",Not Anecdotal,1,Healthy Today,7.png,https://images.unsplash.com/photo-1618588488403-b23a775c9a2c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
26,Non-CT,Vaping,Vaping is really addictive. Most people get addicted to it within a week!,A student from a Chicago University says that he couldn't stop vaping only 4 days after first time trying it.,Anecdotal,2,Healthy Today,7.png,https://cdn.pixabay.com/photo/2018/07/31/22/29/eliquid-3576069_960_720.jpg
27,Non-CT,Vaping,Vaping is really addictive. Most people get addicted to it within a week!,A large survey of Chicago students who used vaping products reports that 80 percent became addicted to vapes within the first week of using them.,Not Anecdotal,2,Healthy Today,7.png,https://cdn.pixabay.com/photo/2016/04/01/21/43/e-cigarette-1301670_960_720.jpg
28,Non-CT,Cryptocurrency,"Wow, interest in Crypto investment is on the rise! ",A teacher made 25000 dollars through crypto investments. She is a crypto convert and will continue to invest!,Anecdotal,1,Investment Wire,23.png,https://images.unsplash.com/photo-1605792657660-596af9009e82?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1102&q=80
29,Non-CT,Cryptocurrency,"Wow, interest in Crypto investment is on the rise! ",Report from Center for Advancement of Decentralized Technologies (CADT) shows that the number of people investing in crypto has tripled over the last year.,Not Anecdotal,1,Investment Wire,23.png,https://images.unsplash.com/photo-1631603090989-93f9ef6f9d80?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1472&q=80
30,Non-CT,Cryptocurrency,Oh oh. Most people are losing interest in Crypto!,New Orleans teacher lost more than half of her investment after just 1 month. She says she won't touch crypto again.,Anecdotal,2,Investment Wire,23.png,https://images.unsplash.com/photo-1622630998477-20aa696ecb05?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1546&q=80
31,Non-CT,Cryptocurrency,Oh oh. Most people are losing interest in Crypto!,Nationwide representative survey conducted by a large economic research center shows that 76% of respondants are losing interest in cryptocurrencies.,Not Anecdotal,2,Investment Wire,23.png,https://images.unsplash.com/photo-1519995451813-39e29e054914?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80