index,evidence,claim,evidence_type,topic_detail,topic_general,pair,source_name,image
0,A hospital worker refused to wear a mask outside of work and yet never caught Covid-19 across the past 18 months. ,Being maskless does not increase the chance of getting covid.,Anecdotal,masks,Covid,1,City News Today,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
1,"A hospital system study reported that hospital workers who refused to wear masks outside of work were no more likely to catch Covid-19, across the past 18 months. ",Being maskless does not increase the chance of getting covid.,Not anecdotal,masks,Covid,1,Moment Magazine,https://images.unsplash.com/photo-1589091683318-a10f065d844a?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
2,"A New Jersey resident jogged for two miles while still wearing a mask, and said he never lost his breath. ",Wearing a mask during strenuous activity does not impair breathing ,Anecdotal,masks,Covid,2,City Tribune,https://images.unsplash.com/photo-1584634731339-252c581abfc5?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1475&q=80
3,A large survey of New Jersey residents showed that 95% reported that wearing a mask did not impair their breathing.,Wearing a mask during strenuous activity does not impair breathing ,Not anecdotal,masks,Covid,2,New Jersey Post,https://images.pexels.com/photos/3786126/pexels-photo-3786126.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
4,Texas man who took Hydroxychloroquine every day for the past six months brags that he never caught Covid-19,Taking Hydroxychloroquine increases immunity to covid infection!,Anecdotal,hydroxychloroquine,Covid,1,Texas Today,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8NHx8cGlsbHN8ZW58MHx8MHx8&auto=format&fit=crop&w=500&q=60
5,Texans who were randomly chosen to take Hydroxychloroquine every day for the past six months were less likely to catch Covid-19 compared to those who received a sugar pill instead. ,Taking Hydroxychloroquine increases immunity to covid infection!,Not anecdotal,hydroxychloroquine,Covid,1,Southern Tribune,https://images.unsplash.com/photo-1628771065518-0d82f1938462?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8M3x8cGlsbHN8ZW58MHx8MHx8&auto=format&fit=crop&w=500&q=60
6,"Retired teacher who took hydroxychloroquine every day during their Covid-19 infection saw condition worsen, and is now on a ventilator",Taking Hydroxychloroquine does not improve covid symptoms!,Anecdotal,hydroxychloroquine,Covid,2,Healthy Today,https://images.pexels.com/photos/4058370/pexels-photo-4058370.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
7,"Medicare data show that, in a controlled experiment, Covid-19 patients who took hydroxychloroquine every day during their Covid-19 infection were more likely to have their condition worsen. ",Taking Hydroxychloroquine does not improve covid symptoms!,Not anecdotal,hydroxychloroquine,Covid,2,Healthcare Tribune,https://images.unsplash.com/photo-1631980837306-accb9a02568b?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
8,Interviewed at the polling booth: I was a Bernie Sanders supporter and even canvassed for him. There was no way I would vote for Joe Biden. So I didn't vote at all!,Most Bernie Sanders supporters didn't vote for Biden in the 2020 election.,Anecdotal,Bernie Sanders,Politics,1,Policy Post,https://images.pexels.com/photos/1550337/pexels-photo-1550337.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
9,Large-scale poll analysis shows that 68% of self-described Bernie Sanders did not vote for president Biden because in the 2020 election.,Most Bernie Sanders supporters didn't vote for Biden in the 2020 election.,Not anecdotal,Bernie Sanders,Politics,1,Politics Tribune,https://images.unsplash.com/photo-1494172961521-33799ddd43a5?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1471&q=80
10,"A Republican factory worker said he voted for Donald Trump in the 2020 election, but would instead vote for Bernie Sanders in the next election",Working class Trump voters are swapping to Bernie!,Anecdotal,Bernie Sanders,Politics,2,Politics Today,https://images.pexels.com/photos/7103187/pexels-photo-7103187.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940
11,A large survey of working class Republican voters showed that 63 percent would instead vote for Bernie Sanders in the next election,Working class Trump voters are swapping to Bernie!,Not anecdotal,Bernie Sanders,Politics,2,Daily Analytics,https://images.pexels.com/photos/1550334/pexels-photo-1550334.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940
12,"Californian wife says her husband was banned from owning guns, but was still able to buy one. ",Gun purchase bans are not effective in cutting off access to guns.,Anecdotal,Gun ownership,Politics,1,American Politics Today,https://images.unsplash.com/photo-1595590424283-b8f17842773f?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
13,A study shows 80 out of every hundred individuals who were banned from owning guns were still able to purchase them.,Gun purchase bans are not effective in cutting off access to guns.,Not anecdotal,Gun ownership,Politics,1,Democracy Today,https://images.unsplash.com/photo-1594232352231-11a0958d131c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1500&q=80
14,Legal gun-owner with a military-grade collection shoots three people in a local bar.,Legal gun ownership increases chances of fatal shootings incidents. ,Anecdotal,Gun ownership,Politics,2,USA Post,https://images.unsplash.com/photo-1609808425360-3ed1ca46d56d?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1025&q=80
15,A nation-wide analysis of shooting incidents in the US shows that fatal shooting incidents are four times more likely to be caused by legal gun owners than by ilegal gun owners. ,Legal gun ownership increases chances of fatal shootings incidents. ,Not anecdotal,Gun ownership,Politics,2,America Wire,https://images.unsplash.com/photo-1639064565697-c44c8b0c17fe?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
16,College student said that vaping was her only succesful strategy for quitting cigarettes.,Vaping is the most effective strategy for quitting smoking cigarettes.,Anecdotal,Vaping,Other,1,Healthcare Wire,https://images.unsplash.com/photo-1616093053570-0143f27b994d?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
17,"A major public health study shows that In comparison to all other quitting methods, using vaping products led to the highest chance of successfully quiting cigarretes.",Vaping is the most effective strategy for quitting smoking cigarettes.,Not anecdotal,Vaping,Other,1,US Health News,https://images.unsplash.com/photo-1618588488403-b23a775c9a2c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
18,A student from a Chicago University says that they couldn't stop vaping only 4 days after first time trying it.,Using vaping products is extremely addictive.,Anecdotal,Vaping,Other,2,Healthy Life News,https://cdn.pixabay.com/photo/2018/07/31/22/29/eliquid-3576069_960_720.jpg
19,A large survey of Chicago students who used vaping products reports that 80 percent became addicted to vapes within the first week of using them.,Using vaping products is extremely addictive.,Not anecdotal,Vaping,Other,2,Politics of Health,https://cdn.pixabay.com/photo/2016/04/01/21/43/e-cigarette-1301670_960_720.jpg
20,A teacher invested 1000 dollars in cryptocurrencies two years ago. Now her crypto portfolio is worth more than 2500 dollars!,Long-term investment in cryptocurrencies results in more than 100% of profits.,Anecdotal,Cryptocurrency,Other,1,Finance Post,https://images.unsplash.com/photo-1605792657660-596af9009e82?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1102&q=80
21,Report from Center for Advancement of Decentralized Technologies (CADT) shows that 79% individuals who made long-term investments in cryptocurrencies in the last two years have made a profit of over 100%.,Long-term investment in cryptocurrencies results in more than 100% of profits.,Not anecdotal,Cryptocurrency,Other,1,Economy Tribune,https://images.unsplash.com/photo-1631603090989-93f9ef6f9d80?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1472&q=80
22,New Orleans teacher who invested her savings into cryptocurrencies lost more than half of her investment after just 1 month.,Most cryptocurrency investors suffer substantial financial losses in the short-term,Anecdotal,Cryptocurrency,Other,2,Investment Wire,https://images.unsplash.com/photo-1622630998477-20aa696ecb05?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1546&q=80
23,Analysis by top business school shows that 75 percent of investors in crypto tokens lost most of their investments within a month.,Most cryptocurrency investors suffer substantial financial losses in the short-term,Not anecdotal,Cryptocurrency,Other,2,Modern Finance News,https://images.unsplash.com/photo-1519995451813-39e29e054914?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80